trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	43    	1   	WALLET    	lure    	0.464	NR  	1   	NR      	NR      
2   	43.5  	2   	ANCHOR    	lure    	0.614	NR  	1   	NR      	NR      
3   	44.2  	1   	WALLET (repeat 1)	lure    	0.671	NR  	1   	NR      	NR      
4   	44.9  	3   	MIRROR    	lure    	0.409	NR  	1   	NR      	NR      
5   	45.4  	2   	ANCHOR (repeat 1)	lure    	0.601	NR  	1   	NR      	NR      
6   	46    	1   	WALLET (repeat 2)	lure    	0.273	NR  	1   	NR      	NR      
7   	46.4  	4   	POWDER    	lure    	0.58	NR  	1   	NR      	NR      
8   	47    	5   	SPONGE    	lure    	0.467	NR  	1   	NR      	NR      
9   	47.5  	6   	STAPLE    	lure    	0.62	NR  	1   	NR      	NR      
10  	48.2  	4   	POWDER (repeat 1)	lure    	0.307	NR  	1   	NR      	NR      
11  	48.6  	5   	SPONGE (repeat 1)	lure    	0.262	NR  	1   	NR      	NR      
12  	48.9  	6   	STAPLE (repeat 1)	lure    	0.344	NR  	1   	NR      	NR      
13  	49.3  	4   	POWDER (repeat 2)	lure    	0.617	NR  	1   	NR      	NR      
14  	50    	6   	STAPLE (repeat 2)	lure    	0.451	NR  	1   	NR      	NR      
15  	50.5  	7   	PEACH     	fruit   	0.955	0.695	1   	target  	target  
16  	51.5  	2   	ANCHOR (repeat 2)	lure    	0.514	NR  	1   	NR      	NR      
17  	52    	3   	MIRROR (repeat 1)	lure    	0.446	NR  	1   	NR      	NR      
18  	52.5  	6   	STAPLE (repeat 3)	lure    	0.345	NR  	1   	NR      	NR      
19  	52.9  	2   	ANCHOR (repeat 3)	lure    	0.299	NR  	1   	NR      	NR      
20  	53.3  	1   	WALLET (repeat 3)	lure    	0.482	NR  	1   	NR      	NR      
21  	53.8  	4   	POWDER (repeat 3)	lure    	0.327	NR  	1   	NR      	NR      
22  	54.2  	8   	CHALK     	lure    	0.526	NR  	1   	NR      	NR      
23  	54.8  	1   	WALLET (repeat 4)	lure    	0.486	NR  	1   	NR      	NR      
24  	55.3  	5   	SPONGE (repeat 2)	lure    	0.312	NR  	1   	NR      	NR      
