trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	65.1  	1   	9  +  4   	---     	1.854	1.148	1   	odd     	odd     
2   	67.2  	2   	9  +  9   	---     	1.85	0.643	1   	even    	even    
3   	69.2  	3   	9  +  7   	---     	1.851	0.907	0   	odd     	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	105.1 	1   	6  +  9   	---     	1.85	0.853	1   	odd     	odd     
2   	107.1 	2   	6  +  5   	---     	1.85	0.693	1   	odd     	odd     
3   	109.2 	3   	8  +  9   	---     	1.85	0.764	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	145.1 	1   	9  +  3   	---     	1.85	0.95	1   	even    	even    
2   	147.1 	2   	9  +  4   	---     	1.85	0.646	1   	odd     	odd     
3   	149.1 	3   	9  +  2   	---     	1.85	0.758	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	185.1 	1   	9  +  6   	---     	1.851	0.942	1   	odd     	odd     
2   	187.1 	2   	8  +  6   	---     	1.851	1.086	1   	even    	even    
3   	189.1 	3   	9  +  7   	---     	1.851	0.622	0   	odd     	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	225.1 	1   	7  +  6   	---     	1.851	1.143	1   	odd     	odd     
2   	227.1 	2   	8  +  4   	---     	1.851	0.583	1   	even    	even    
3   	229.1 	3   	9  +  7   	---     	1.852	0.727	0   	odd     	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	265.1 	1   	9  +  9   	---     	1.851	0.695	1   	even    	even    
2   	267.1 	2   	7  +  6   	---     	1.85	0.663	1   	odd     	odd     
3   	269.2 	3   	7  +  4   	---     	1.851	1.068	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	305.1 	1   	8  +  4   	---     	1.851	0.664	1   	even    	even    
2   	307.1 	2   	7  +  5   	---     	1.851	0.728	1   	even    	even    
3   	309.1 	3   	9  +  9   	---     	1.85	0.856	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	345.1 	1   	7  +  6   	---     	1.851	0.817	1   	odd     	odd     
2   	347.1 	2   	7  +  9   	---     	1.85	1.192	1   	even    	even    
3   	349.1 	3   	2  +  9   	---     	1.85	0.744	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	385.1 	1   	9  +  7   	---     	1.85	0.937	1   	even    	even    
2   	387.1 	2   	9  +  6   	---     	1.85	0.856	1   	odd     	odd     
3   	389.1 	3   	9  +  4   	---     	1.85	0.953	0   	even    	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	425.1 	1   	6  +  8   	---     	1.851	0.809	1   	even    	even    
2   	427.1 	2   	8  +  6   	---     	1.851	0.857	1   	even    	even    
3   	429.1 	3   	7  +  5   	---     	1.851	0.737	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	465.1 	1   	8  +  7   	---     	1.85	1.233	1   	odd     	odd     
2   	467.1 	2   	9  +  3   	---     	1.85	1.056	1   	even    	even    
3   	469.1 	3   	9  +  4   	---     	1.851	0.681	0   	even    	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	505.1 	1   	7  +  8   	---     	1.852	0.753	1   	odd     	odd     
2   	507.1 	2   	5  +  9   	---     	1.85	0.96	1   	even    	even    
3   	509.1 	3   	9  +  5   	---     	1.853	0.839	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	545.1 	1   	7  +  4   	---     	1.851	1.162	1   	odd     	odd     
2   	547.1 	2   	8  +  3   	---     	1.851	1.098	1   	odd     	odd     
3   	549.1 	3   	7  +  6   	---     	1.851	1.202	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	585.1 	1   	6  +  6   	---     	1.851	0.722	1   	even    	even    
2   	587.1 	2   	3  +  8   	---     	1.851	0.713	1   	odd     	odd     
3   	589.1 	3   	8  +  7   	---     	1.85	0.873	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	625.1 	1   	6  +  5   	---     	1.851	0.682	1   	odd     	odd     
2   	627.1 	2   	8  +  3   	---     	1.851	0.786	1   	odd     	odd     
3   	629.1 	2   	8  +  3 (repeat 1)	---     	1.851	0.57	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	665.1 	1   	7  +  6   	---     	1.85	0.755	1   	odd     	odd     
2   	667.1 	2   	9  +  3   	---     	1.853	1.019	1   	even    	even    
3   	669.1 	3   	3  +  8   	---     	1.85	0.586	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	705.1 	1   	8  +  9   	---     	1.85	0.907	1   	odd     	odd     
2   	707.1 	2   	5  +  8   	---     	1.85	0.699	1   	odd     	odd     
3   	709.1 	3   	9  +  9   	---     	1.85	0.579	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	745.1 	1   	6  +  5   	---     	1.851	0.619	1   	odd     	odd     
2   	747.1 	2   	7  +  8   	---     	1.851	0.803	1   	odd     	odd     
3   	749.1 	3   	7  +  4   	---     	1.851	1.267	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	785.1 	1   	5  +  6   	---     	1.85	0.62	1   	odd     	odd     
2   	787.1 	2   	9  +  8   	---     	1.851	0.796	1   	odd     	odd     
3   	789.1 	3   	4  +  8   	---     	1.85	0.58	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	825.1 	1   	5  +  6   	---     	1.851	0.707	1   	odd     	odd     
2   	827.1 	2   	9  +  9   	---     	1.854	0.619	1   	even    	even    
3   	829.1 	3   	7  +  5   	---     	1.852	0.683	1   	even    	even    
