trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	68.5  	1   	9  +  3   	---     	1.851	0.932	1   	even    	even    
2   	70.5  	2   	4  +  9   	---     	1.853	0.935	1   	odd     	odd     
3   	72.5  	3   	5  +  9   	---     	1.85	0.983	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	108.5 	1   	6  +  8   	---     	1.85	1.346	1   	even    	even    
2   	110.5 	2   	9  +  2   	---     	1.85	1.058	1   	odd     	odd     
3   	112.5 	3   	2  +  9   	---     	1.852	0.93	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	148.5 	1   	9  +  4   	---     	1.85	1.251	1   	odd     	odd     
2   	150.5 	2   	4  +  9   	---     	1.85	0.787	1   	odd     	odd     
3   	152.5 	1   	9  +  4 (repeat 1)	---     	1.85	0.731	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	188.5 	1   	7  +  6   	---     	1.85	0.955	1   	odd     	odd     
2   	190.5 	2   	8  +  9   	---     	1.85	0.779	1   	odd     	odd     
3   	192.5 	3   	9  +  6   	---     	1.85	1.219	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	228.5 	1   	9  +  7   	---     	1.85	1.227	1   	even    	even    
2   	230.5 	2   	9  +  9   	---     	1.85	0.955	0   	odd     	even    
3   	232.5 	3   	4  +  7   	---     	1.85	1.011	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	268.5 	1   	9  +  9   	---     	1.85	1.131	1   	even    	even    
2   	270.5 	2   	6  +  6   	---     	1.85	0.659	1   	even    	even    
3   	272.5 	3   	7  +  4   	---     	1.85	0.851	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	308.5 	1   	9  +  8   	---     	1.851	1.123	1   	odd     	odd     
2   	310.5 	2   	3  +  8   	---     	1.85	0.762	1   	odd     	odd     
3   	312.5 	3   	9  +  4   	---     	1.85	0.802	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	348.5 	1   	9  +  5   	---     	1.851	1.332	1   	even    	even    
2   	350.5 	2   	7  +  4   	---     	1.851	0.764	1   	odd     	odd     
3   	352.5 	3   	9  +  4   	---     	1.851	0.676	0   	even    	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	388.5 	1   	8  +  4   	---     	1.85	0.764	1   	even    	even    
2   	390.5 	2   	4  +  9   	---     	1.85	0.796	1   	odd     	odd     
3   	392.5 	3   	7  +  7   	---     	1.85	0.613	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	428.4 	1   	7  +  7   	---     	1.85	0.878	1   	even    	even    
2   	430.4 	2   	9  +  5   	---     	1.852	1.173	1   	even    	even    
3   	432.5 	3   	5  +  9   	---     	1.85	0.837	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	468.5 	1   	9  +  9   	---     	1.852	1.028	1   	even    	even    
2   	470.5 	2   	6  +  5   	---     	1.85	0.844	1   	odd     	odd     
3   	472.5 	3   	4  +  8   	---     	1.85	0.676	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	508.5 	1   	7  +  8   	---     	1.85	1.205	1   	odd     	odd     
2   	510.5 	2   	6  +  7   	---     	1.85	0.701	0   	even    	odd     
3   	512.5 	3   	9  +  9   	---     	1.85	0.645	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	548.5 	1   	7  +  5   	---     	1.85	1.308	1   	even    	even    
2   	550.5 	2   	5  +  8   	---     	1.85	0.86	1   	odd     	odd     
